X In-Phase_x,X In-Phase_y,X Quadrature_x,X Quadrature_y,Y In-Phase_x,Y In-Phase_y,Y Quadrature_x,Y Quadrature_y,Z In-Phase_x,Z In-Phase_y,Z Quadrature_x,Z Quadrature_y
0.,1.1848137258,0.,-0.1068992984,0.,2.4297428215,0.,-0.2170831648,0.,-1.3377536523,0.,-0.0996489433
0.1941819191,1.1847988255,0.1941819191,-0.1069308218,0.1941819191,2.4296353471,0.1941819191,-0.2171365134,0.1941819191,-1.3377638488,0.1941819191,-0.0996541926
0.3797659874,1.1848065256,0.3797659874,-0.1070423456,0.3797659874,2.4294799465,0.3797659874,-0.2173122802,0.3797659874,-1.3377785202,0.3797659874,-0.0997340526
0.5703840256,1.1847990011,0.5703840256,-0.1068605627,0.5703840256,2.4297884311,0.5703840256,-0.2170163124,0.5703840256,-1.3377927197,0.5703840256,-0.0995319219
0.7691109180,1.184810749,0.7691109180,-0.1069055449,0.7691109180,2.4294752841,0.7691109180,-0.2170004731,0.7691109180,-1.3378104653,0.7691109180,-0.0996650266
0.9564220905,1.1848077277,0.9564220905,-0.1069074154,0.9564220905,2.4298224526,0.9564220905,-0.2170598638,0.9564220905,-1.3378458955,0.9564220905,-0.0996166111
1.1498601437,1.1847733213,1.1498601437,-0.1069384209,1.1498601437,2.4295205838,1.1498601437,-0.2170362728,1.1498601437,-1.3378004468,1.1498601437,-0.0996974021
1.3420031071,1.1847612334,1.3420031071,-0.1068219842,1.3420031071,2.4298253160,1.3420031071,-0.2168978689,1.3420031071,-1.3377606837,1.3420031071,-0.0995974436
1.5321650505,1.1847528754,1.5321650505,-0.1069597178,1.5321650505,2.4298465976,1.5321650505,-0.2170934623,1.5321650505,-1.3377844735,1.5321650505,-0.0996708278
1.7274150848,1.1847584422,1.7274150848,-0.1069644056,1.7274150848,2.4293445311,1.7274150848,-0.2170482789,1.7274150848,-1.3377664594,1.7274150848,-0.0996951641
1.9126629829,1.1847334745,1.9126629829,-0.1068953514,1.9126629829,2.4298026152,1.9126629829,-0.2171017889,1.9126629829,-1.3377202333,1.9126629829,-0.099616413
2.1047761440,1.1847273733,2.1047761440,-0.1069104603,2.1047761440,2.4293659510,2.1047761440,-0.2170881236,2.1047761440,-1.3377231281,2.1047761440,-0.0996422383
2.3010520935,1.1847437927,2.3010520935,-0.1069863213,2.3010520935,2.4297811582,2.3010520935,-0.2172579513,2.3010520935,-1.3377857153,2.3010520935,-0.0996338674
2.4873700142,1.1847425996,2.4873700142,-0.1069661355,2.4873700142,2.4296425901,2.4873700142,-0.2170535468,2.4873700142,-1.3377964763,2.4873700142,-0.0995732506
2.6754291058,1.1847723462,2.6754291058,-0.1069092086,2.6754291058,2.4297129207,2.6754291058,-0.2169506174,2.6754291058,-1.3378124559,2.6754291058,-0.0995487977
2.8714900017,1.1847469171,2.8714900017,-0.106941304,2.8714900017,2.4297464469,2.8714900017,-0.2170206807,2.8714900017,-1.3378125738,2.8714900017,-0.0996027479
3.0674440861,1.1847448428,3.0674440861,-0.107003875,3.0674440861,2.4293186041,3.0674440861,-0.2169314397,3.0674440861,-1.3378171459,3.0674440861,-0.0996298356
3.2566819191,1.1895839587,3.2566819191,0.0000824121,3.2566819191,2.4394867672,3.2566819191,0.0000019176,3.2566819191,-1.3415458113,3.2566819191,0.0000787307
3.4533729553,1.1895404051,3.4533729553,0.0000523996,3.4533729553,2.439322342,3.4533729553,-0.0000132078,3.4533729553,-1.3415114436,3.4533729553,0.0000624197
3.6392481327,1.1895368772,3.6392481327,-0.0000071392,3.6392481327,2.4392351237,3.6392481327,-0.0001727695,3.6392481327,-1.3414939773,3.6392481327,-0.0000057179
3.8275151253,1.1895562703,3.8275151253,0.0001088589,3.8275151253,2.4394170815,3.8275151253,-0.0001268942,3.8275151253,-1.3414779909,3.8275151253,0.000060682
4.0257220268,1.1895886000,4.0257220268,0.0000138278,4.0257220268,2.4389358591,4.0257220268,-0.0002205837,4.0257220268,-1.3415036704,4.0257220268,-0.0000276794
4.2143549919,1.1895793169,4.2143549919,0.0000991496,4.2143549919,2.4394025187,4.2143549919,-0.0000937903,4.2143549919,-1.3414857487,4.2143549919,0.0001007027
4.4049749374,1.1896297938,4.4049749374,0.0000792962,4.4049749374,2.4389800710,4.4049749374,0.0000345221,4.4049749374,-1.3414955628,4.4049749374,0.0000376909
4.6029999256,1.1896538343,4.6029999256,0.0000833104,4.6029999256,2.4394332035,4.6029999256,-0.0000318241,4.6029999256,-1.3415019195,4.6029999256,0.0000235333
4.7879040241,1.1896262566,4.7879040241,0.0000718952,4.7879040241,2.4394155259,4.7879040241,-0.0000130719,4.7879040241,-1.3414716156,4.7879040241,0.0000419390
4.9858229160,1.1895951657,4.9858229160,0.0001474527,4.9858229160,2.4393620385,4.9858229160,0.000115393,4.9858229160,-1.3414721316,4.9858229160,0.0000797976
5.1754460335,1.1895872699,5.1754460335,0.0000446580,5.1754460335,2.4394341599,5.1754460335,-0.0000789749,5.1754460335,-1.3414926154,5.1754460335,0.0000227916
5.3689291477,1.1896042954,5.3689291477,0.0000839712,5.3689291477,2.4389066867,5.3689291477,-0.0000425521,5.3689291477,-1.3414913545,5.3689291477,0.0000114151
5.5517189503,1.1895755969,5.5517189503,0.0001144618,5.5517189503,2.4393910338,5.5517189503,-0.0000559455,5.5517189503,-1.3414728216,5.5517189503,0.0000565173
5.7486500740,1.1895948803,5.7486500740,0.0000521963,5.7486500740,2.4389483058,5.7486500740,-0.0001296878,5.7486500740,-1.3414917235,5.7486500740,-0.0000101238
5.9426000118,1.1896051539,5.9426000118,-0.0000365874,5.9426000118,2.4393415714,5.9426000118,-0.0003327398,5.9426000118,-1.3414834766,5.9426000118,-0.0000725716
6.1366131306,1.1896292906,6.1366131306,0.0001028725,6.1366131306,2.4393761908,6.1366131306,-0.0000452722,6.1366131306,-1.3414773702,6.1366131306,0.0000289358
6.3277590275,1.1896025495,6.3277590275,0.000057989,6.3277590275,2.43893133,6.3277590275,-0.0000384055,6.3277590275,-1.3414425777,6.3277590275,-0.0000645377
6.5177321434,1.1896171751,6.5177321434,0.0000561516,6.5177321434,2.4394186844,6.5177321434,-0.0001434508,6.5177321434,-1.3415094668,6.5177321434,-0.0000261243
6.7063829899,1.1895883324,6.7063829899,0.0000563448,6.7063829899,2.4390405132,6.7063829899,-0.0000486211,6.7063829899,-1.3414721287,6.7063829899,-0.0000389924
6.8991570473,1.1895716459,6.8991570473,0.0002317122,6.8991570473,2.4393852711,6.8991570473,0.0001838598,6.8991570473,-1.3414501756,6.8991570473,0.000120765
7.0909731388,1.1895544128,7.0909731388,0.0000429683,7.0909731388,2.4391330120,7.0909731388,-0.0000776244,7.0909731388,-1.3414437955,7.0909731388,-0.0000336548
7.2838389874,1.1895609546,7.2838389874,0.0000822195,7.2838389874,2.4390220228,7.2838389874,-0.0000761929,7.2838389874,-1.3414363561,7.2838389874,-0.0000072874
7.4751710892,1.1895533868,7.4751710892,0.0000907027,7.4751710892,2.4393199727,7.4751710892,-0.0000997601,7.4751710892,-1.3414271373,7.4751710892,0.0000379743
7.6703310013,1.1895752137,7.6703310013,0.0000480383,7.6703310013,2.4389044343,7.6703310013,-0.0000894966,7.6703310013,-1.3415193567,7.6703310013,0.0000084010
7.8592059612,1.1895759392,7.8592059612,0.0000265085,7.8592059612,2.4393029206,7.8592059612,-0.0001706844,7.8592059612,-1.3414819139,7.8592059612,0.0000016454
8.0505239964,1.1895610982,8.0505239964,0.0000606700,8.0505239964,2.4389637807,8.0505239964,0.0000448658,8.0505239964,-1.3414956875,8.0505239964,0.0000304142
8.2458710670,1.1895698262,8.2458710670,0.0000350407,8.2458710670,2.4393529548,8.2458710670,-0.0000365683,8.2458710670,-1.3414696791,8.2458710670,0.0000020180
