freq,gain,vdiv_used,Vpp,Vrms,auto_aberrant,tried_vdivs,user_ok
90322,1120,1.0,6.535,2.31,True,"[0.2, 0.2, 0.5, 1]",o
63431,201,0.2,1.17,0.414,False,[0.2],o
69154,254,0.2,1.445,0.511,False,[0.2],o
57137,1174,1.0,7.085,2.51,True,"[0.2, 0.2, 0.5, 1]",o
70258,1211,1.0,7.126,2.52,True,"[0.2, 0.2, 0.5, 1]",o
71077,221,0.2,1.252,0.442,False,[0.2],o
73353,179,0.2,1.06,0.374,False,[0.2],o
70858,1032,1.0,6.095,2.15,True,"[0.2, 0.2, 0.5, 1]",o
93162,727,0.5,4.207,1.49,True,"[0.2, 0.2, 0.5]",n
52762,1221,1.0,7.447,2.64,True,"[0.2, 0.2, 0.5, 1]",o
78364,622,0.5,3.616,1.28,True,"[0.2, 0.2, 0.5]",o
82126,1182,1.0,6.854,2.43,True,"[0.2, 0.2, 0.5, 1]",o
56473,793,0.5,4.758,1.69,True,"[0.2, 0.2, 0.5]",o
68734,367,0.5,2.128,0.75,True,"[0.2, 0.2, 0.5]",o
65819,516,0.5,3.099,1.1,True,"[0.2, 0.2, 0.5]",o
55406,956,1.0,5.759,2.04,True,"[0.2, 0.2, 0.5, 1]",o
83118,251,0.2,1.426,0.504,False,[0.2],o
95835,1270,1.0,7.334,2.6,True,"[0.2, 0.2, 0.5, 1]",o
85498,415,0.5,2.374,0.84,True,"[0.2, 0.2, 0.5]",o
