frequency_hz,n_samples,timestamp,adc1_ch1_mean,adc1_ch1_std,adc1_ch1_rms,adc1_ch2_mean,adc1_ch2_std,adc1_ch2_rms,adc1_ch3_mean,adc1_ch3_std,adc1_ch3_rms,adc1_ch4_mean,adc1_ch4_std,adc1_ch4_rms,adc2_ch1_mean,adc2_ch1_std,adc2_ch1_rms,adc2_ch2_mean,adc2_ch2_std,adc2_ch2_rms,adc2_ch3_mean,adc2_ch3_std,adc2_ch3_rms,adc2_ch4_mean,adc2_ch4_std,adc2_ch4_rms
10.0,100,2025-07-29T16:40:16.991604,-8149.96,93.10,8150.49,6948.16,75.82,6948.57,-5121.51,61.80,5121.88,4057.77,44.14,4058.01,-32006.41,245.50,32007.35,38117.29,246.52,38118.09,-875571.35,10.77,875571.35,-875796.57,9.82,875796.57,
11.697714419120476,100,2025-07-29T16:40:32.130419,-8265.61,114.87,8266.41,7121.13,121.26,7122.16,-5158.79,58.95,5159.13,4161.71,66.18,4162.24,-32310.28,336.43,32312.03,38412.52,335.58,38413.99,-875578.76,14.11,875578.76,-875786.28,20.38,875786.28,
13.683652263129911,100,2025-07-29T16:40:47.257837,-8582.76,26.67,8582.80,7389.13,27.94,7389.18,-5347.67,18.68,5347.70,4296.44,19.63,4296.48,-33101.61,68.08,33101.68,39209.67,67.73,39209.73,-875577.28,10.64,875577.28,-875797.80,11.40,875797.80,
16.006745638464533,100,2025-07-29T16:41:02.399871,-8427.28,144.91,8428.53,7231.48,145.38,7232.94,-5282.33,72.48,5282.83,4226.01,74.58,4226.67,-32837.88,166.87,32838.30,38946.79,167.37,38947.15,-875575.03,12.47,875575.03,-875801.49,13.79,875801.49,
18.724233925826034,100,2025-07-29T16:41:17.541238,-8275.35,137.34,8276.49,7101.61,134.18,7102.88,-5182.94,81.85,5183.59,4148.45,81.78,4149.26,-32369.35,416.46,32372.03,38478.01,416.46,38480.26,-875573.19,12.24,875573.19,-875786.38,13.09,875786.38,
21.903074118112002,100,2025-07-29T16:41:32.679539,-7927.03,203.89,7929.65,6769.58,200.62,6772.55,-5018.24,95.93,5019.16,3996.63,90.36,3997.65,-31578.42,306.95,31579.91,37687.74,305.73,37688.98,-875568.43,10.94,875568.43,-875796.30,20.48,875796.30,
25.621590593450332,100,2025-07-29T16:41:47.807937,-8196.11,283.38,8201.01,7064.36,289.34,7070.28,-5140.71,136.08,5142.51,4151.83,143.68,4154.32,-32305.68,651.96,32312.26,38410.75,649.70,38416.24,-875569.74,11.53,875569.74,-875791.20,15.74,875791.20,
29.97140497258055,100,2025-07-29T16:42:02.946524,-8632.67,44.21,8632.78,7511.19,33.15,7511.26,-5338.82,36.98,5338.95,4362.33,25.73,4362.41,-33318.51,107.47,33318.68,39421.74,108.96,39421.89,-875568.31,10.04,875568.31,-875794.65,16.06,875794.65,
35.05969361090547,100,2025-07-29T16:42:18.072841,-8315.10,300.17,8320.52,7103.91,332.78,7111.70,-5222.21,153.27,5224.46,4151.32,186.65,4155.51,-32860.37,573.66,32865.38,38973.70,572.40,38977.90,-875558.39,10.12,875558.39,-875797.42,13.93,875797.42,
41.011828348223496,100,2025-07-29T16:42:33.211607,-8697.20,123.83,8698.08,7479.54,119.79,7480.50,-5424.43,56.28,5424.72,4344.80,54.15,4345.14,-33407.94,227.56,33408.71,39521.75,228.53,39522.41,-875556.16,11.12,875556.16,-875783.40,17.20,875783.40,
