frequence_Hz,timestamp,VPP_CH1,VPP_CH2,VPP_CH3
100.0,2025-09-26 14:14:12,2.25,3.6,1.53
126.6,2025-09-26 14:14:32,2.7,4.2,1.73
160.4,2025-09-26 14:14:51,3.1,4.8,1.85
203.1,2025-09-26 14:15:09,3.3,5.6,1.97
257.2,2025-09-26 14:15:28,3.5,5.8,1.93
325.7,2025-09-26 14:15:46,3.6,6.2,1.85
412.5,2025-09-26 14:16:04,3.7,6.4,1.69
522.3,2025-09-26 14:16:22,3.7,6.2,1.49
661.5,2025-09-26 14:16:40,3.5,6.0,1.33
837.7,2025-09-26 14:16:57,3.4,6.0,1.09
1060.8,2025-09-26 14:17:14,3.2,5.6,0.94
1343.4,2025-09-26 14:17:32,3.0,5.2,0.8
1701.3,2025-09-26 14:17:49,2.7,4.6,0.7
2154.4,2025-09-26 14:18:06,2.41,4.2,0.62
2728.3,2025-09-26 14:18:23,2.21,3.9,0.58
3455.1,2025-09-26 14:18:40,2.09,3.7,0.52
4375.5,2025-09-26 14:18:57,1.97,3.5,0.5
5541.0,2025-09-26 14:19:14,1.93,3.5,0.48
7017.0,2025-09-26 14:19:32,1.89,3.3,0.48
8886.2,2025-09-26 14:19:49,1.85,3.3,0.46
11253.4,2025-09-26 14:20:06,1.81,3.2,0.46
14251.0,2025-09-26 14:20:23,1.81,3.3,0.46
18047.2,2025-09-26 14:20:40,1.77,3.2,0.46
22854.6,2025-09-26 14:20:57,1.81,3.2,0.44
28942.7,2025-09-26 14:21:14,1.81,3.2,0.44
36652.4,2025-09-26 14:21:31,1.81,3.2,0.45
46415.9,2025-09-26 14:21:48,1.77,3.2,0.44
58780.2,2025-09-26 14:22:05,1.77,3.3,0.46
74438.0,2025-09-26 14:22:22,1.81,3.3,0.43
94266.8,2025-09-26 14:22:39,1.73,3.2,0.42
119377.7,2025-09-26 14:22:56,1.45,2.7,0.35
151177.5,2025-09-26 14:23:13,1.07,1.93,0.28
191448.2,2025-09-26 14:23:30,0.8,1.45,0.23
242446.2,2025-09-26 14:23:47,0.6,1.07,0.177
307029.1,2025-09-26 14:24:04,0.43,0.76,0.149
388815.5,2025-09-26 14:24:20,0.31,0.56,0.109
492388.3,2025-09-26 14:24:37,0.185,0.33,0.105
