frequence_Hz,timestamp,VPP_CH1,VPP_CH2,VPP_CH3
100.0,2025-09-26 15:10:14,3.5,0.44,3.5
126.6,2025-09-26 15:10:32,4.0,0.54,3.9
160.4,2025-09-26 15:10:49,4.6,0.62,4.2
203.1,2025-09-26 15:11:05,5.2,0.68,4.3
257.2,2025-09-26 15:11:22,5.6,0.76,4.3
325.7,2025-09-26 15:11:38,6.0,0.8,4.1
412.5,2025-09-26 15:11:54,6.0,0.82,3.7
522.3,2025-09-26 15:12:10,6.0,0.84,3.3
661.5,2025-09-26 15:12:26,5.6,0.8,2.8
837.7,2025-09-26 15:12:41,5.4,0.8,2.29
1060.8,2025-09-26 15:12:56,4.8,0.74,2.01
1343.4,2025-09-26 15:13:12,4.5,0.7,1.69
1701.3,2025-09-26 15:13:27,4.1,0.64,1.49
2154.4,2025-09-26 15:13:42,3.7,0.58,1.33
2728.3,2025-09-26 15:13:57,3.5,0.56,1.17
3455.1,2025-09-26 15:14:13,3.3,0.52,1.07
4375.5,2025-09-26 15:14:28,3.1,0.5,1.03
5541.0,2025-09-26 15:14:43,3.1,0.48,0.96
7017.0,2025-09-26 15:14:58,2.9,0.46,0.94
8886.2,2025-09-26 15:15:13,2.9,0.45,0.94
11253.4,2025-09-26 15:15:28,2.9,0.46,0.9
14251.0,2025-09-26 15:15:44,2.8,0.44,0.92
18047.2,2025-09-26 15:15:59,2.9,0.44,0.92
22854.6,2025-09-26 15:16:13,2.9,0.43,0.9
28942.7,2025-09-26 15:16:28,2.8,0.44,0.92
36652.4,2025-09-26 15:16:43,2.7,0.43,0.9
46415.9,2025-09-26 15:16:58,2.8,0.44,0.9
58780.2,2025-09-26 15:17:13,2.8,0.43,0.9
74438.0,2025-09-26 15:17:29,2.7,0.43,0.9
94266.8,2025-09-26 15:17:44,2.7,0.44,0.88
119377.7,2025-09-26 15:17:58,2.17,0.39,0.72
151177.5,2025-09-26 15:18:14,1.69,0.3,0.56
191448.2,2025-09-26 15:18:29,1.25,0.23,0.42
242446.2,2025-09-26 15:18:43,0.9,0.173,0.31
307029.1,2025-09-26 15:18:58,0.64,0.125,0.23
388815.5,2025-09-26 15:19:12,0.48,0.121,0.165
