timestamp,x_imag,y_imag,y_reel,x_reel,z_imag,z_reel,val7,val8
2025-05-23T19:41:06.875052,-1421,-2949,997,-1471,829,3363,-875172,-876140
2025-05-23T19:41:07.004474,-2878,-1460,-2556,2071,1693,2521,-875176,-876055
2025-05-23T19:41:07.132728,-1360,-2998,1061,-1557,775,3407,-875185,-876109
2025-05-23T19:41:07.260608,-2890,-1447,-2429,1944,1680,2536,-875196,-876081
2025-05-23T19:41:07.388426,-2308,-2059,-1261,782,1326,2867,-875192,-876077
2025-05-23T19:41:07.514304,-1503,-2850,771,-1236,866,3337,-875197,-876073
2025-05-23T19:41:07.642015,-2989,-1346,-2696,2211,1693,2518,-875153,-876105
2025-05-23T19:41:07.771196,-2101,-2264,-675,186,1216,2970,-875212,-876082
2025-05-23T19:41:07.897362,-2708,-1628,-2045,1564,1535,2678,-875171,-876109
2025-05-23T19:41:08.026876,-2380,-1985,-1328,871,1365,2842,-875127,-876103
2025-05-23T19:41:08.152936,-1629,-2719,387,-846,962,3269,-875188,-876094
2025-05-23T19:41:08.283010,-2662,-1669,-1889,1394,1590,2606,-875145,-876106
2025-05-23T19:41:08.410162,-1642,-2721,453,-930,958,3243,-875242,-876058
2025-05-23T19:41:08.536809,-2117,-2217,-740,260,1276,2925,-875195,-876110
2025-05-23T19:41:08.664917,-2993,-1345,-2783,2302,1746,2466,-875185,-876087
2025-05-23T19:41:08.794093,-1452,-2919,806,-1251,899,3302,-875211,-876101
2025-05-23T19:41:08.919961,-2631,-1703,-1891,1413,1510,2707,-875147,-875999
2025-05-23T19:41:09.049758,-2665,-1684,-2012,1543,1591,2595,-875223,-876126
2025-05-23T19:41:09.177228,-1840,-2505,-38,-446,1067,3125,-875237,-876106
2025-05-23T19:41:09.305285,-3040,-1303,-2693,2193,1752,2447,-875188,-876107
2025-05-23T19:41:09.431025,-1364,-3009,1115,-1565,785,3414,-875226,-876071
2025-05-23T19:41:09.558305,-2607,-1726,-1747,1245,1545,2654,-875189,-876092
2025-05-23T19:41:09.688200,-2988,-1350,-2713,2224,1753,2456,-875199,-876068
2025-05-23T19:41:09.813831,-1394,-2956,1016,-1507,814,3376,-875175,-876105
2025-05-23T19:41:09.941834,-2753,-1585,-2187,1701,1632,2582,-875215,-876100
2025-05-23T19:41:10.070967,-2227,-2132,-1086,591,1306,2870,-875188,-876099
2025-05-23T19:41:10.197486,-2065,-2276,-413,-62,1158,3048,-875203,-876095
2025-05-23T19:41:10.325151,-2974,-1362,-2731,2268,1698,2522,-875218,-876100
2025-05-23T19:41:10.453070,-1311,-3055,1222,-1701,760,3424,-875197,-876058
2025-05-23T19:41:10.580603,-2261,-2082,-928,443,1277,2945,-875153,-876078
2025-05-23T19:41:10.709832,-2563,-1788,-1760,1287,1487,2712,-875209,-876073
2025-05-23T19:41:10.838139,-1509,-2840,801,-1262,880,3309,-875186,-876078
2025-05-23T19:41:10.964167,-2904,-1443,-2641,2150,1721,2477,-875197,-876060
2025-05-23T19:41:11.091974,-1845,-2525,-41,-418,1093,3109,-875130,-876063
2025-05-23T19:41:11.221373,-1960,-2385,-243,-230,1131,3086,-875199,-876077
2025-05-23T19:41:11.347442,-2598,-1758,-1872,1403,1520,2671,-875160,-876124
2025-05-23T19:41:11.476543,-1299,-3069,1232,-1706,725,3469,-875181,-876047
2025-05-23T19:41:11.603734,-2978,-1358,-2698,2197,1689,2520,-875225,-876110
2025-05-23T19:41:11.731258,-1648,-2724,355,-828,1010,3179,-875237,-876136
2025-05-23T19:41:11.858654,-1612,-2742,461,-954,940,3245,-875214,-876126
2025-05-23T19:41:11.986109,-2946,-1396,-2796,2313,1740,2469,-875140,-876121
2025-05-23T19:41:12.113931,-1486,-2881,784,-1251,926,3276,-875181,-876075
2025-05-23T19:41:12.241843,-2370,-1965,-1190,708,1396,2816,-875174,-876042
2025-05-23T19:41:12.369796,-2473,-1888,-1580,1106,1460,2739,-875154,-876067
2025-05-23T19:41:12.497340,-1303,-3060,1211,-1712,770,3419,-875211,-876083
2025-05-23T19:41:12.625051,-2946,-1389,-2600,2114,1724,2490,-875151,-876100
2025-05-23T19:41:12.752633,-1793,-2571,125,-585,1064,3131,-875191,-876115
2025-05-23T19:41:12.881031,-2013,-2337,-404,-59,1185,3024,-875159,-876091
2025-05-23T19:41:13.008340,-2309,-2055,-1091,635,1325,2877,-875141,-876053
2025-05-23T19:41:13.137327,-1261,-3109,1210,-1677,729,3452,-875172,-876032
2025-05-23T19:41:13.263726,-2953,-1383,-2667,2197,1726,2508,-875228,-876085
2025-05-23T19:41:13.393234,-1578,-2798,532,-1007,892,3296,-875211,-876019
2025-05-23T19:41:13.521417,-1905,-2440,-241,-242,1158,3063,-875164,-876049
2025-05-23T19:41:13.648431,-2594,-1765,-1895,1414,1499,2709,-875177,-876013
2025-05-23T19:41:13.776441,-1292,-3077,1183,-1648,797,3402,-875176,-876140
2025-05-23T19:41:13.902846,-2874,-1449,-2367,1866,1639,2564,-875163,-876079
2025-05-23T19:41:14.031128,-2657,-1699,-1942,1466,1550,2663,-875176,-876071
2025-05-23T19:41:14.158410,-1880,-2470,-125,-354,1112,3098,-875162,-876087
2025-05-23T19:41:14.285852,-2942,-1401,-2642,2170,1703,2523,-875160,-876092
2025-05-23T19:41:14.413583,-1682,-2687,316,-786,926,3263,-875156,-876071
2025-05-23T19:41:14.541316,-1853,-2497,3,-511,1071,3116,-875239,-876053
2025-05-23T19:41:14.669714,-2870,-1485,-2515,2044,1703,2522,-875210,-876092
2025-05-23T19:41:14.798165,-1273,-3097,1203,-1673,779,3431,-875207,-876072
2025-05-23T19:41:14.924778,-2973,-1364,-2573,2108,1731,2509,-875159,-876061
2025-05-23T19:41:15.052802,-2228,-2135,-1066,600,1324,2872,-875197,-876077
2025-05-23T19:41:15.181092,-1586,-2769,648,-1112,924,3281,-875165,-876066
2025-05-23T19:41:15.307922,-2744,-1604,-2213,1705,1590,2606,-875152,-876075
2025-05-23T19:41:15.435921,-1555,-2810,620,-1090,937,3251,-875170,-876100
2025-05-23T19:41:15.563466,-2899,-1434,-2504,2033,1668,2555,-875143,-876123
2025-05-23T19:41:15.692331,-2323,-2044,-1252,767,1334,2863,-875160,-876055
