frequency_hz,n_samples,timestamp,adc1_ch1_mean,adc1_ch1_std,adc1_ch1_rms,adc1_ch2_mean,adc1_ch2_std,adc1_ch2_rms,adc1_ch3_mean,adc1_ch3_std,adc1_ch3_rms,adc1_ch4_mean,adc1_ch4_std,adc1_ch4_rms,adc2_ch1_mean,adc2_ch1_std,adc2_ch1_rms,adc2_ch2_mean,adc2_ch2_std,adc2_ch2_rms,adc2_ch3_mean,adc2_ch3_std,adc2_ch3_rms,adc2_ch4_mean,adc2_ch4_std,adc2_ch4_rms
10.0,2,2025-07-30T09:41:14.174194,-162996.50,548.50,162997.42,161462.00,553.00,161462.95,-113008.00,446.00,113008.88,112347.00,442.00,112347.87,-252455.50,1633.50,252460.78,259017.00,1603.00,259021.96,-875461.00,18.00,875461.00,-875708.50,7.50,875708.50,
11.697714419120476,2,2025-07-30T09:41:14.992584,-162906.00,373.00,162906.43,161377.50,386.50,161377.96,-112866.00,317.00,112866.45,112214.00,317.00,112214.45,-252060.50,1000.50,252062.49,258631.00,966.00,258632.80,-875419.50,22.50,875419.50,-875701.00,2.00,875701.00,
13.683652263129911,2,2025-07-30T09:41:15.808633,-163111.00,56.00,163111.01,161583.50,56.50,161583.51,-112873.50,48.50,112873.51,112217.50,37.50,112217.51,-252505.50,330.50,252505.72,259075.00,348.00,259075.23,-875404.50,16.50,875404.50,-875689.50,26.50,875689.50,
16.006745638464533,2,2025-07-30T09:41:16.627070,-162873.00,298.00,162873.27,161331.00,303.00,161331.28,-112675.50,173.50,112675.63,112015.00,177.00,112015.14,-251894.50,997.50,251896.48,258472.50,1001.50,258474.44,-875418.50,24.50,875418.50,-875683.00,11.00,875683.00,
18.724233925826034,2,2025-07-30T09:41:17.445685,-162788.50,471.50,162789.18,161282.00,472.00,161282.69,-112577.00,332.00,112577.49,111941.50,323.50,111941.97,-251991.00,1464.00,251995.25,258588.00,1439.00,258592.00,-875418.00,28.00,875418.00,-875680.50,2.50,875680.50,
21.903074118112002,2,2025-07-30T09:41:18.261302,-162707.00,507.00,162707.79,161222.50,541.50,161223.41,-112578.00,391.00,112578.68,111949.00,403.00,111949.73,-251969.50,1363.50,251973.19,258555.50,1335.50,258558.95,-875416.50,14.50,875416.50,-875703.50,1.50,875703.50,
25.621590593450332,2,2025-07-30T09:41:19.080544,-162985.50,198.50,162985.62,161498.00,249.00,161498.19,-112781.50,223.50,112781.72,112153.00,249.00,112153.28,-252677.00,458.00,252677.42,259252.50,447.50,259252.89,-875444.00,29.00,875444.00,-875681.00,9.00,875681.00,
29.97140497258055,2,2025-07-30T09:41:19.914818,-162775.00,551.00,162775.93,161311.00,548.00,161311.93,-112957.00,405.00,112957.73,112336.00,395.00,112336.69,-252058.50,1616.50,252063.68,258654.50,1583.50,258659.35,-875409.50,10.50,875409.50,-875708.00,9.00,875708.00,
35.05969361090547,2,2025-07-30T09:41:20.745822,-162595.00,346.00,162595.37,161158.50,336.50,161158.85,-113188.50,168.50,113188.63,112593.50,165.50,112593.62,-251778.50,1085.50,251780.84,258392.50,1077.50,258394.75,-875413.50,52.50,875413.50,-875642.50,16.50,875642.50,
41.011828348223496,2,2025-07-30T09:41:21.564271,-162748.00,576.00,162749.02,161289.50,587.50,161290.57,-113247.00,418.00,113247.77,112637.00,413.00,112637.76,-252048.00,1597.00,252053.06,258648.50,1561.50,258653.21,-875415.00,16.00,875415.00,-875659.00,26.00,875659.00,
47.97446558235079,2,2025-07-30T09:41:22.394501,-162201.00,533.00,162201.88,160747.00,534.00,160747.89,-112687.50,365.50,112688.09,112069.50,361.50,112070.08,-251637.00,1527.00,251641.63,258233.00,1503.00,258237.37,-875448.50,9.50,875448.50,-875683.00,4.00,875683.00,
