frequence_Hz,timestamp,VPP_CH1,VPP_CH2,VPP_CH3
100.0,2025-10-01 11:30:00,3.1,0.101,0.25
126.6,2025-10-01 11:30:17,3.6,0.117,0.31
160.4,2025-10-01 11:30:34,4.2,0.113,0.36
203.1,2025-10-01 11:30:50,4.6,0.121,0.41
257.2,2025-10-01 11:31:07,4.9,0.133,0.43
325.7,2025-10-01 11:31:23,5.4,0.141,0.43
412.5,2025-10-01 11:31:39,4.7,0.261,0.35
522.3,2025-10-01 11:31:55,5.2,0.129,0.31
661.5,2025-10-01 11:32:10,4.8,0.145,0.3
837.7,2025-10-01 11:32:26,4.7,0.141,0.27
1060.8,2025-10-01 11:32:41,4.5,0.141,0.23
1343.4,2025-10-01 11:32:57,4.2,0.133,0.209
1701.3,2025-10-01 11:33:12,3.9,0.125,0.181
2154.4,2025-10-01 11:33:27,3.5,0.113,0.169
2728.3,2025-10-01 11:33:41,3.2,0.121,0.145
3455.1,2025-10-01 11:33:57,3.1,0.121,0.145
4375.5,2025-10-01 11:34:12,2.9,0.121,0.145
5541.0,2025-10-01 11:34:27,2.8,0.105,0.145
7017.0,2025-10-01 11:34:42,2.8,0.109,0.141
8886.2,2025-10-01 11:34:57,2.7,0.109,0.149
11253.4,2025-10-01 11:35:12,2.7,0.129,0.133
14251.0,2025-10-01 11:35:28,2.7,0.129,0.141
18047.2,2025-10-01 11:35:43,2.7,0.113,0.133
22854.6,2025-10-01 11:35:57,2.7,0.117,0.133
28942.7,2025-10-01 11:36:12,2.7,0.129,0.145
36652.4,2025-10-01 11:36:27,2.7,0.129,0.137
46415.9,2025-10-01 11:36:42,2.7,0.137,0.141
58780.2,2025-10-01 11:36:57,2.7,0.145,0.145
74438.0,2025-10-01 11:37:12,2.7,0.165,0.153
94266.8,2025-10-01 11:37:27,2.6,0.25,0.149
119377.7,2025-10-01 11:37:42,2.17,0.29,0.145
151177.5,2025-10-01 11:37:57,1.73,0.22,0.129
191448.2,2025-10-01 11:38:12,1.33,0.177,0.113
242446.2,2025-10-01 11:38:27,0.94,0.149,0.101
