scan_id,point_index,x,y,voltage_x_in_phase,voltage_x_quadrature,voltage_y_in_phase,voltage_y_quadrature,voltage_z_in_phase,voltage_z_quadrature,std_dev_x_in_phase,std_dev_x_quadrature,std_dev_y_in_phase,std_dev_y_quadrature,std_dev_z_in_phase,std_dev_z_quadrature
38b04411-5628-4148-97d1-7db47651b682,0,435.0,435.0,1.4022418090581894,-0.0479691879272461,0.15842156410217287,0.0023258451461791994,-1.5125862419843676,0.044577388644218445,1.9120866722137166e-05,7.961758674110875e-05,3.105436476993999e-05,2.4981992001386238e-05,4.509851949317389e-05,6.336128912220676e-05
38b04411-5628-4148-97d1-7db47651b682,1,443.16326530612247,435.0,1.4022098452806475,-0.047986887359619146,0.15840823130607604,0.0023042448520660406,-1.5125162302494048,0.0446582587480545,3.1993301963519344e-05,4.8699339450434743e-05,2.4595913619043748e-05,2.9190111815328515e-05,4.67512288509713e-05,3.8422000487543835e-05
38b04411-5628-4148-97d1-7db47651b682,2,451.3265306122449,435.0,1.4021864983320238,-0.04794895584583283,0.15842162232398987,0.0023063117265701297,-1.5124770178556441,0.04460731465816498,3.061156565655243e-05,6.278755760740019e-05,2.9823427624030267e-05,2.418065528039015e-05,4.632375045908501e-05,4.026764658328019e-05
38b04411-5628-4148-97d1-7db47651b682,3,459.48979591836735,435.0,1.402175232410431,-0.047969304370880136,0.15844185440540315,0.0022771717071533204,-1.5124602208614353,0.044661722946167,1.9866165957328144e-05,4.980108016551553e-05,2.5051943481161078e-05,2.436296862750784e-05,3.5774662764261685e-05,4.019831275660341e-05
38b04411-5628-4148-97d1-7db47651b682,4,467.6530612244898,435.0,1.4021568634271622,-0.04798103606700898,0.1584216223239899,0.0022830521106719974,-1.5124478778362274,0.0446522910118103,1.7191847608600968e-05,6.57849639040364e-05,2.8005642141281535e-05,2.4567721167971986e-05,3.921440959668347e-05,3.939456393301861e-05
38b04411-5628-4148-97d1-7db47651b682,5,475.81632653061223,435.0,1.4021713606595996,-0.047937981033325194,0.15843737132549288,0.002299063110351562,-1.5124371359109878,0.04458766479492189,1.8735834390426936e-05,4.8881136560574015e-05,3.276441050910099e-05,1.9986287110317727e-05,4.569937730419013e-05,3.278674721038792e-05
38b04411-5628-4148-97d1-7db47651b682,6,483.9795918367347,435.0,1.4021396297693254,-0.047959261107444764,0.1584480259180069,0.0023018286466598512,-1.5124001359462742,0.04460370490550995,2.430796691969527e-05,7.381081552232246e-05,2.3870333561006612e-05,2.5888693906401838e-05,3.8991910051535466e-05,5.0653436241257755e-05
38b04411-5628-4148-97d1-7db47651b682,7,492.14285714285717,435.0,1.4021202419042589,-0.04794531698226929,0.15844325172901152,0.002296355795860291,-1.51236313598156,0.044607110881805426,2.1351285323969532e-05,2.3624239133416552e-05,2.437767015462885e-05,1.9762116767822152e-05,4.965608619963777e-05,4.220383460287625e-05
38b04411-5628-4148-97d1-7db47651b682,8,500.3061224489796,435.0,1.4020967785120013,-0.04795710690021515,0.15845105345249175,0.002307359719276428,-1.512367939281464,0.04461828947067262,2.1102787408615746e-05,7.774448292592473e-05,2.6784514359153278e-05,3.448696048512016e-05,4.7385310572380504e-05,4.82244358935074e-05
38b04411-5628-4148-97d1-7db47651b682,9,508.46938775510205,435.0,1.402085308814049,-0.047943715882301334,0.15844223284721376,0.002303808188438416,-1.5123812429666519,0.04459535007476807,1.778041398564354e-05,6.02438824280776e-05,2.0031840175055608e-05,2.513164961867417e-05,4.7110618950203354e-05,1.7608717752643427e-05
38b04411-5628-4148-97d1-7db47651b682,10,516.6326530612245,435.0,1.4020683371543885,-0.04795873711109162,0.15843332490921022,0.0023056130647659302,-1.5123632815361026,0.04460059003829957,2.1963596893238798e-05,5.32969864672752e-05,3.7006416700555156e-05,1.396140476854081e-05,5.3216071359164176e-05,4.573837498433014e-05
38b04411-5628-4148-97d1-7db47651b682,11,524.795918367347,435.0,1.402098699831963,-0.04793303217887878,0.1584153925895691,0.002293619370460511,-1.5123569062471391,0.04460082292556763,1.5699781622007643e-05,4.3381917631465134e-05,2.581415272029861e-05,1.9653373010391695e-05,3.358833449562225e-05,3.5494357193333636e-05
38b04411-5628-4148-97d1-7db47651b682,12,532.9591836734694,435.0,1.4020832419395446,-0.047921591591835025,0.1584181581258774,0.0022978986740112305,-1.512359409785271,0.0446101966381073,2.244583402535736e-05,3.5883529618357195e-05,2.0622475697801052e-05,1.252949494457165e-05,4.565113768594708e-05,3.8182495169131895e-05
38b04411-5628-4148-97d1-7db47651b682,13,541.1224489795918,435.0,1.4020606227636336,-0.04796129887104034,0.15841414082050326,0.002275949048995972,-1.512309309911728,0.04469097940921784,1.803104283161428e-05,7.750624722853825e-05,2.417909761229806e-05,1.8725151746967735e-05,5.1624037533581826e-05,4.9355950254640394e-05
